1,once,What is love?,5,10:45〜10:50,,,,,10:45-
,オープニングMC,,2.5,10:50〜10:52.5,,,,,
2,スンドゥブ,FactCheck,3.5,10:52.5〜10:56,,,,,10:53-
,,,1.5,10:56〜10:57.5,,,,,
3,リアルセタボーイズ,脳漿炸裂ガール、chariot,4,10:57.5〜11:01.5,,,,,10:58-
,,,1.5,11:01.5〜11:03,,,,,
4,XⅡCBOYZ,3D、Seven,3,11:03〜11:06,,,,,11:03-
,,,1.5,11:06-11:07.5,,,,,
,田調,,6,11:07.5-11:13.5,,,,,11:08-
,,,1.5,11:13.5-11:15,,,,,
5,2代目仏教少年団,EASY.Impossible、DNA,11,11:15-11:26,,,,,11:15-
,,,1.5,11:26-11:27.5,,,,,
6,SetarayKids,LALALALA,4,11:27.5-11:31.5,,,,,11:28-
,,,1.5,11:31.5-11:33,,,,,
7,Plaisir,runnaway baby,5,11:33-11:38,,,,,11:33-
,,,1.5,11:38-11:39.5,,,,,
8,Arise,Fire,4,11:39.5-11:43.5,,,,,11:40-
,エンディングMC,,2.5,11:43.5-11:46,,,,,
,,,61,,,,,,
